0.00,244,535,433
0.12,232,522,422
0.24,231,521,420
0.36,230,525,419
0.48,228,512,413
0.60,226,510,410
0.72,224,514,410
0.84,221,498,402
0.96,219,503,398
1.08,223,488,397
1.20,214,482,390
1.32,213,487,384
1.44,215,471,379
1.56,212,464,380
1.68,202,458,368
1.80,200,458,362
1.92,196,440,356
2.04,199,434,350
2.16,195,434,343
2.28,186,417,335
2.40,188,408,332
2.52,183,400,322
2.64,180,393,316
2.76,178,388,312
2.88,168,377,304
3.00,168,378,303
3.12,165,380,300
3.24,167,372,299
3.36,163,354,287
3.48,156,349,282
3.60,153,342,273
3.72,153,345,271
3.84,142,314,254
3.96,142,314,254
4.08,147,322,248
4.20,137,310,244
4.32,137,304,245
4.44,133,290,228
4.56,128,284,229
4.68,128,283,226
4.80,129,275,221
4.92,126,276,216
5.04,118,260,210
5.16,119,266,210
5.28,118,250,202
5.40,117,256,203
5.52,112,238,184
5.64,108,238,191
5.76,106,231,180
5.88,104,227,183
6.00,104,220,170
6.12,100,217,168
6.24,101,214,166
6.36,96,210,170
6.48,96,208,167
6.60,93,209,157
6.72,93,202,163
6.84,91,201,152
6.96,89,195,158
7.08,89,197,154
7.20,88,188,144
7.32,86,185,149
7.44,84,182,146
7.56,82,177,135
7.68,81,173,140
7.80,79,170,133
7.92,77,168,133
8.04,74,160,126
8.16,73,155,118
8.28,72,148,122
8.40,69,144,118
8.52,66,142,105
8.64,65,134,101
8.76,62,132,106
8.88,60,127,103
9.00,64,127,102
9.12,58,122,99
9.24,55,116,94
9.36,55,115,86
9.48,57,109,83
9.60,52,109,77
9.72,50,104,84
9.84,50,101,81
9.96,51,91,78
10.08,50,95,65
10.20,41,80,59
10.32,43,79,52
10.44,40,79,53
10.56,43,82,65
10.68,38,76,61
10.80,37,74,48
10.92,38,72,57
11.04,35,66,57
11.16,37,65,52
11.28,33,64,42
11.40,32,52,48
11.52,31,60,47
11.64,31,48,34
11.76,32,56,45
11.88,28,51,41
12.00,28,41,41
12.12,30,43,41
12.24,25,46,31
12.36,25,35,37
12.48,24,34,36
12.60,24,34,23
12.72,24,42,20
12.84,22,41,33
12.96,23,33,33
13.08,22,39,31
13.20,25,39,31
13.32,22,38,24
13.44,21,35,16
13.56,20,35,28
13.68,20,32,13
13.80,19,32,26
13.92,18,31,24
14.04,21,18,25
14.16,20,17,9
14.28,18,27,22
14.40,15,26,17
14.52,16,12,21
14.64,15,24,9
14.76,15,23,7
14.88,14,14,18
15.00,11,23,13
15.12,13,20,17
15.24,16,20,10
15.36,14,8,13
15.48,13,7,15
15.60,13,18,2
15.72,14,8,16
15.84,13,20,2
15.96,13,18,15
16.08,13,6,7
16.20,13,20,4
16.32,15,21,9
16.44,13,8,16
16.56,14,21,7
16.68,14,20,17
16.80,15,19,16
16.92,14,21,3
17.04,15,23,19
17.16,15,23,6
17.28,15,23,5
17.40,16,19,20
17.52,15,13,19
17.64,17,14,23
17.76,13,15,9
17.88,17,26,23
18.00,18,29,24
18.12,17,30,24
18.24,17,29,24
18.36,19,31,25
18.48,19,19,27
18.60,18,20,26
18.72,17,21,27
18.84,20,22,15
18.96,20,34,20
19.08,20,36,29
19.20,19,37,30
19.32,22,26,23
19.44,22,38,32
19.56,22,40,33
19.68,23,41,34
19.80,24,44,22
19.92,25,35,37
20.04,25,46,30
20.16,25,47,40
20.28,26,50,30
20.40,28,53,44
20.52,29,55,46
20.64,33,58,47
20.76,31,60,47
20.88,33,63,52
21.00,34,58,42
21.12,36,62,51
21.24,36,70,45
21.36,39,78,53
21.48,39,78,64
21.60,39,70,57
21.72,45,81,67
21.84,42,86,70
21.96,50,96,67
22.08,46,95,68
22.20,47,95,72
22.32,48,92,70
22.44,54,116,93
22.56,54,112,92
22.68,54,106,93
22.80,54,112,82
22.92,61,123,89
23.04,58,122,99
23.16,64,126,104
23.28,60,125,99
