0.00,235,473,400
0.15,228,483,400
0.30,225,469,396
0.45,220,460,388
0.60,218,462,385
0.75,215,444,375
0.90,210,445,374
1.05,206,427,360
1.20,203,419,352
1.35,198,419,346
1.50,195,410,339
1.65,189,402,332
1.80,187,387,326
1.95,185,381,321
2.10,181,373,315
2.25,180,368,305
2.40,179,366,303
2.55,167,343,287
2.70,171,350,289
2.85,168,333,282
3.00,157,331,273
3.15,155,316,269
3.30,150,309,260
3.45,151,297,253
3.60,142,291,242
3.75,142,286,237
3.90,134,274,232
4.05,129,263,224
4.20,129,261,221
4.35,129,251,213
4.50,121,245,208
4.65,117,242,201
4.80,115,235,198
4.95,116,226,192
5.10,113,220,180
5.25,107,214,183
5.40,108,206,170
5.55,102,203,173
5.70,100,204,163
5.85,97,195,166
6.00,96,190,156
6.15,97,184,149
6.30,95,179,153
6.45,88,175,149
6.60,85,172,145
6.75,88,163,141
6.90,81,165,131
7.05,83,155,133
7.20,76,150,129
7.35,74,146,125
7.50,73,139,121
7.65,75,137,106
7.80,72,131,108
7.95,66,128,110
8.10,68,124,107
8.25,62,119,102
8.40,61,118,90
8.55,60,114,90
8.70,56,101,92
8.85,56,105,79
9.00,54,99,85
9.15,51,91,82
9.30,49,83,79
9.45,47,85,75
9.60,45,76,71
9.75,44,76,67
9.90,45,74,65
10.05,43,63,61
10.20,42,68,59
10.35,40,64,45
10.50,35,61,42
10.65,34,57,52
10.80,34,55,49
10.95,31,53,46
11.10,30,39,43
11.25,29,47,42
11.40,28,45,39
11.55,28,43,27
11.70,26,42,37
11.85,29,40,36
12.00,25,38,24
12.15,26,29,32
12.30,23,35,25
12.45,22,28,26
12.60,21,32,29
12.75,20,29,29
12.90,20,18,27
13.05,21,28,26
13.20,20,27,25
13.35,19,26,24
13.50,18,25,23
13.65,16,11,22
13.80,18,22,21
13.95,15,22,21
14.10,17,10,20
14.25,17,10,13
14.40,16,20,19
14.55,13,12,8
14.70,15,13,6
14.85,15,6,18
15.00,16,8,14
15.15,16,13,18
15.30,13,11,18
